[2022-03-04 08:43:54,034] DEEPMD INFO    deepmd.train.trainer                          batch    5000 training time 1.07 s, testing time 0.01 s
[2022-03-04 08:43:55,196] DEEPMD INFO    deepmd.train.trainer                          batch    5100 training time 1.08 s, testing time 0.01 s
[2022-03-04 08:43:56,365] DEEPMD INFO    deepmd.train.trainer                          batch    5200 training time 1.08 s, testing time 0.01 s
[2022-03-04 08:43:57,530] DEEPMD INFO    deepmd.train.trainer                          batch    5300 training time 1.08 s, testing time 0.01 s
[2022-03-04 08:43:58,708] DEEPMD INFO    deepmd.train.trainer                          batch    5400 training time 1.09 s, testing time 0.01 s
[2022-03-04 08:43:59,864] DEEPMD INFO    deepmd.train.trainer                          batch    5500 training time 1.07 s, testing time 0.01 s
[2022-03-04 08:44:01,041] DEEPMD INFO    deepmd.train.trainer                          batch    5600 training time 1.09 s, testing time 0.01 s
[2022-03-04 08:44:02,214] DEEPMD INFO    deepmd.train.trainer                          batch    5700 training time 1.09 s, testing time 0.01 s
[2022-03-04 08:44:03,386] DEEPMD INFO    deepmd.train.trainer                          batch    5800 training time 1.09 s, testing time 0.01 s
[2022-03-04 08:44:04,560] DEEPMD INFO    deepmd.train.trainer                          batch    5900 training time 1.09 s, testing time 0.01 s
[2022-03-04 08:44:05,834] DEEPMD INFO    deepmd.train.trainer                          batch    6000 training time 1.10 s, testing time 0.01 s
[2022-03-04 08:44:06,037] DEEPMD INFO    deepmd.train.trainer                          saved checkpoint model.ckpt
[2022-03-04 08:44:07,203] DEEPMD INFO    deepmd.train.trainer                          batch    6100 training time 1.08 s, testing time 0.01 s
[2022-03-04 08:44:08,354] DEEPMD INFO    deepmd.train.trainer                          batch    6200 training time 1.07 s, testing time 0.01 s
[2022-03-04 08:44:09,505] DEEPMD INFO    deepmd.train.trainer                          batch    6300 training time 1.07 s, testing time 0.01 s
[2022-03-04 08:44:10,671] DEEPMD INFO    deepmd.train.trainer                          batch    6400 training time 1.08 s, testing time 0.01 s
[2022-03-04 08:44:11,828] DEEPMD INFO    deepmd.train.trainer                          batch    6500 training time 1.07 s, testing time 0.01 s
[2022-03-04 08:44:12,995] DEEPMD INFO    deepmd.train.trainer                          batch    6600 training time 1.08 s, testing time 0.01 s
[2022-03-04 08:44:14,147] DEEPMD INFO    deepmd.train.trainer                          batch    6700 training time 1.07 s, testing time 0.01 s
[2022-03-04 08:44:15,300] DEEPMD INFO    deepmd.train.trainer                          batch    6800 training time 1.07 s, testing time 0.01 s
[2022-03-04 08:44:16,449] DEEPMD INFO    deepmd.train.trainer                          batch    6900 training time 1.07 s, testing time 0.01 s
[2022-03-04 08:44:17,616] DEEPMD INFO    deepmd.train.trainer                          batch    7000 training time 1.08 s, testing time 0.01 s
[2022-03-04 08:44:18,788] DEEPMD INFO    deepmd.train.trainer                          batch    7100 training time 1.09 s, testing time 0.01 s
[2022-03-04 08:44:19,956] DEEPMD INFO    deepmd.train.trainer                          batch    7200 training time 1.08 s, testing time 0.01 s
[2022-03-04 08:44:21,104] DEEPMD INFO    deepmd.train.trainer                          batch    7300 training time 1.06 s, testing time 0.01 s
[2022-03-04 08:44:22,258] DEEPMD INFO    deepmd.train.trainer                          batch    7400 training time 1.07 s, testing time 0.01 s
[2022-03-04 08:44:23,411] DEEPMD INFO    deepmd.train.trainer                          batch    7500 training time 1.07 s, testing time 0.01 s
[2022-03-04 08:44:24,568] DEEPMD INFO    deepmd.train.trainer                          batch    7600 training time 1.07 s, testing time 0.01 s
[2022-03-04 08:44:25,736] DEEPMD INFO    deepmd.train.trainer                          batch    7700 training time 1.08 s, testing time 0.01 s
[2022-03-04 08:44:26,913] DEEPMD INFO    deepmd.train.trainer                          batch    7800 training time 1.09 s, testing time 0.01 s
[2022-03-04 08:44:28,060] DEEPMD INFO    deepmd.train.trainer                          batch    7900 training time 1.06 s, testing time 0.01 s
[2022-03-04 08:44:29,348] DEEPMD INFO    deepmd.train.trainer                          batch    8000 training time 1.08 s, testing time 0.01 s
[2022-03-04 08:44:29,540] DEEPMD INFO    deepmd.train.trainer                          saved checkpoint model.ckpt
[2022-03-04 08:44:30,698] DEEPMD INFO    deepmd.train.trainer                          batch    8100 training time 1.08 s, testing time 0.01 s
[2022-03-04 08:44:31,842] DEEPMD INFO    deepmd.train.trainer                          batch    8200 training time 1.06 s, testing time 0.01 s
[2022-03-04 08:44:32,989] DEEPMD INFO    deepmd.train.trainer                          batch    8300 training time 1.06 s, testing time 0.01 s
[2022-03-04 08:44:34,134] DEEPMD INFO    deepmd.train.trainer                          batch    8400 training time 1.06 s, testing time 0.01 s
[2022-03-04 08:44:35,283] DEEPMD INFO    deepmd.train.trainer                          batch    8500 training time 1.07 s, testing time 0.01 s
[2022-03-04 08:44:36,444] DEEPMD INFO    deepmd.train.trainer                          batch    8600 training time 1.08 s, testing time 0.01 s
[2022-03-04 08:44:37,608] DEEPMD INFO    deepmd.train.trainer                          batch    8700 training time 1.08 s, testing time 0.01 s
[2022-03-04 08:44:38,750] DEEPMD INFO    deepmd.train.trainer                          batch    8800 training time 1.06 s, testing time 0.01 s
[2022-03-04 08:44:39,900] DEEPMD INFO    deepmd.train.trainer                          batch    8900 training time 1.07 s, testing time 0.01 s
[2022-03-04 08:44:41,044] DEEPMD INFO    deepmd.train.trainer                          batch    9000 training time 1.06 s, testing time 0.01 s
[2022-03-04 08:44:42,192] DEEPMD INFO    deepmd.train.trainer                          batch    9100 training time 1.07 s, testing time 0.01 s
[2022-03-04 08:44:43,356] DEEPMD INFO    deepmd.train.trainer                          batch    9200 training time 1.08 s, testing time 0.01 s
[2022-03-04 08:44:44,524] DEEPMD INFO    deepmd.train.trainer                          batch    9300 training time 1.08 s, testing time 0.01 s
[2022-03-04 08:44:45,700] DEEPMD INFO    deepmd.train.trainer                          batch    9400 training time 1.09 s, testing time 0.01 s
[2022-03-04 08:44:46,846] DEEPMD INFO    deepmd.train.trainer                          batch    9500 training time 1.06 s, testing time 0.01 s
[2022-03-04 08:44:47,995] DEEPMD INFO    deepmd.train.trainer                          batch    9600 training time 1.07 s, testing time 0.01 s
[2022-03-04 08:44:49,162] DEEPMD INFO    deepmd.train.trainer                          batch    9700 training time 1.08 s, testing time 0.01 s
[2022-03-04 08:44:50,305] DEEPMD INFO    deepmd.train.trainer                          batch    9800 training time 1.06 s, testing time 0.01 s
[2022-03-04 08:44:51,453] DEEPMD INFO    deepmd.train.trainer                          batch    9900 training time 1.06 s, testing time 0.01 s
[2022-03-04 08:44:52,758] DEEPMD INFO    deepmd.train.trainer                          batch   10000 training time 1.09 s, testing time 0.01 s
[2022-03-04 08:44:52,947] DEEPMD INFO    deepmd.train.trainer                          saved checkpoint model.ckpt
[2022-03-04 08:44:52,948] DEEPMD INFO    deepmd.entrypoints.train                      finished training
[2022-03-04 08:44:52,948] DEEPMD INFO    deepmd.entrypoints.train                      wall time: 120.796 s
