[2022-03-04 01:20:57,154] DEEPMD INFO    deepmd.train.trainer                          batch    8300 training time 21.89 s, testing time 0.13 s
[2022-03-04 01:21:19,199] DEEPMD INFO    deepmd.train.trainer                          batch    8400 training time 21.79 s, testing time 0.14 s
[2022-03-04 01:21:41,186] DEEPMD INFO    deepmd.train.trainer                          batch    8500 training time 21.77 s, testing time 0.12 s
[2022-03-04 01:22:02,898] DEEPMD INFO    deepmd.train.trainer                          batch    8600 training time 21.47 s, testing time 0.13 s
[2022-03-04 01:22:24,529] DEEPMD INFO    deepmd.train.trainer                          batch    8700 training time 21.43 s, testing time 0.10 s
[2022-03-04 01:22:46,282] DEEPMD INFO    deepmd.train.trainer                          batch    8800 training time 21.51 s, testing time 0.13 s
[2022-03-04 01:23:08,315] DEEPMD INFO    deepmd.train.trainer                          batch    8900 training time 21.80 s, testing time 0.12 s
[2022-03-04 01:23:30,008] DEEPMD INFO    deepmd.train.trainer                          batch    9000 training time 21.47 s, testing time 0.12 s
[2022-03-04 01:23:51,931] DEEPMD INFO    deepmd.train.trainer                          batch    9100 training time 21.70 s, testing time 0.11 s
[2022-03-04 01:24:13,631] DEEPMD INFO    deepmd.train.trainer                          batch    9200 training time 21.47 s, testing time 0.12 s
[2022-03-04 01:24:35,549] DEEPMD INFO    deepmd.train.trainer                          batch    9300 training time 21.69 s, testing time 0.12 s
[2022-03-04 01:24:57,534] DEEPMD INFO    deepmd.train.trainer                          batch    9400 training time 21.75 s, testing time 0.13 s
[2022-03-04 01:25:19,273] DEEPMD INFO    deepmd.train.trainer                          batch    9500 training time 21.51 s, testing time 0.13 s
[2022-03-04 01:25:41,259] DEEPMD INFO    deepmd.train.trainer                          batch    9600 training time 21.76 s, testing time 0.12 s
[2022-03-04 01:26:02,920] DEEPMD INFO    deepmd.train.trainer                          batch    9700 training time 21.44 s, testing time 0.12 s
[2022-03-04 01:26:24,506] DEEPMD INFO    deepmd.train.trainer                          batch    9800 training time 21.36 s, testing time 0.11 s
[2022-03-04 01:26:46,204] DEEPMD INFO    deepmd.train.trainer                          batch    9900 training time 21.47 s, testing time 0.12 s
[2022-03-04 01:27:08,054] DEEPMD INFO    deepmd.train.trainer                          batch   10000 training time 21.56 s, testing time 0.11 s
[2022-03-04 01:27:08,246] DEEPMD INFO    deepmd.train.trainer                          saved checkpoint model.ckpt
[2022-03-04 01:27:08,246] DEEPMD INFO    deepmd.entrypoints.train                      finished training
[2022-03-04 01:27:08,246] DEEPMD INFO    deepmd.entrypoints.train                      wall time: 2184.525 s
